08-06 21:41:47 [INFO] - Campaign '千里狙殺' loaded successfully   (omobab 88)
08-06 21:41:47 [INFO] - Hero: 雜賀孫市 - 千里狙擊手   (omobab 89)
08-06 21:41:47 [INFO] - Total stages: 3   (omobab 90)
08-06 21:41:47 [INFO] - Total abilities: 9   (omobab 91)
08-06 21:41:47 [INFO] - tcp://localhost:1883   (omobab 98)
08-06 21:41:47 [INFO] - 🔔 Backend subscribed to MQTT topic: td/+/send   (omobab 59)
08-06 21:41:48 [WARN] - 地形高度圖載入失敗，使用後備視野系統   (omobab::comp::state 223)
08-06 21:41:48 [INFO] - Initializing campaign data for: 千里狙殺   (omobab::comp::state 231)
08-06 21:41:48 [INFO] - Loading hero: 雜賀孫市 - 千里狙擊手   (omobab::comp::state 237)
08-06 21:41:48 [INFO] - Loading ability: 隕石衝擊 (R)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 寒冰箭 (Q)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 致命一擊 ()   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 火球術 (W)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 雜賀眾 (E)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 冰霜攻擊 ()   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 雨鐵炮 (R)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 三段 (T)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading ability: 狙擊模式 (W)   (omobab::comp::state 245)
08-06 21:41:48 [INFO] - Loading enemy: 訓練法師 (training_mage)   (omobab::comp::state 253)
08-06 21:41:48 [INFO] - Loading enemy: 火焰法師 (fire_mage)   (omobab::comp::state 253)
08-06 21:41:48 [INFO] - Loading enemy: 大法師 (archmage_boss)   (omobab::comp::state 253)
08-06 21:41:48 [INFO] - Loading stage: 遠距補刀 (S0)   (omobab::comp::state 265)
08-06 21:41:48 [INFO] - Loading stage: 基準試煉 (S1a)   (omobab::comp::state 265)
08-06 21:41:48 [INFO] - Loading stage: 最終火力網 (S5)   (omobab::comp::state 265)
08-06 21:41:48 [INFO] - Campaign initialization completed   (omobab::comp::state 268)
08-06 21:41:48 [INFO] - Creating campaign scene for: 千里狙殺   (omobab::comp::state 308)
08-06 21:41:48 [INFO] - Setting up training scene for sniper practice   (omobab::comp::state 325)
08-06 21:41:48 [INFO] - Created hero entity '雜賀孫市' with full combat components   (omobab::comp::state 382)
08-06 21:41:48 [INFO] - Created ability '狙擊模式' and skill instance for hero   (omobab::comp::state 454)
08-06 21:41:48 [INFO] - Created ability '雜賀眾' and skill instance for hero   (omobab::comp::state 454)
08-06 21:41:48 [INFO] - Created ability '雨鐵炮' and skill instance for hero   (omobab::comp::state 454)
08-06 21:41:48 [INFO] - Created ability '三段' and skill instance for hero   (omobab::comp::state 454)
08-06 21:41:48 [INFO] - Created training enemy unit '訓練法師' at position (800, 0)   (omobab::comp::state 508)
08-06 21:41:48 [INFO] - Created training enemy unit '火焰法師' at position (1000, 100)   (omobab::comp::state 508)
